title,original_title,overview,release_date
Breaking Legs,Breaking Legs,"It's 'Footloose' meets 'Mean Girls' as high school freshman Bloom moves to a town where there's no place to dance - except the school dance team! But when the boyfriend of the team's lead girl falls for her, she'll have to fight to win her place amongst these venomous girls. Breaking Legs is sure one to kick your boots off and pull up your heels, as these kids dance the field away to compete for the homecoming crown at R. Murray High School. Will it be newbie Bloom, or her arch nemesis and Dance Team leader, Harmony? Watch as the two square off in this fun but odd match to the finish. Someone is doomed to 'Break a Leg' on the dance floor, or rather, the football field!",2017-04-25
SHINE 42,SHINE 42,"SHINE Wrestling & WWN present  SHINE 42,  Ybor City, FL,  5/12/2017. Matches include: SHINE Championship Match  LuFisto defends vs. Leva  • Impromptu Six Woman Tag Team Match  The Cutie Pie Club of Candy Cartwright, Aria Blake & Kiera Hogan vs. Aerial Monroe, Priscilla Kelly & Renee Michelle  • Candy Cartwright w/ Aria Blake & Kiera Hogan vs. Renee Michelle  • Allysin Kay vs. Chelsea Green  • SHINE Tag Team Championship Match  Santana & Gabi CastroVinci  defend vs. Las Sicarias of Ivelisse & Mercedes Martinez  • Aria Blake w/ Candy Cartwright & Kiera Hogan vs. Aerial Monroe  • ACR vs. Lindsay Snow  • Kiera Hogan vs. Priscilla Kelly  • Maria Maria vs. Dynamite DiDi  • SHINE Sparkle Showcase Match  Aja Perrera vs. Dementia D’Rose.",2017-05-12
Thor: Ragnarok,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",2017-10-02
SHINE 46,SHINE 46,"WWN & SHINE Wrestling present  SHINE 46,  Ybor City, FL,  10/20/2017. Matches include:  SHINE Tag Team Championship Match  Las Sicarias of Ivelisse & Mercedes Martinez defend vs. Twisted Sisterz of Holidead & Thunder Rosa  • SHINE Championship Match  LuFisto defends vs. Vanessa Kraven  • Candy Cartwright w/ Kiera Hogan & Aria Blake vs. Jordynne Grace  • SHINE Nova Championship Match  Priscilla Kelly defends vs. Santana  • The Cutie Pie Club of Kiera Hogan & Aria Blake w/ Candy Cartwright vs. Aerial Monroe & Aja Perera  • ACR vs. Natalia Markova  • Allysin Kay vs. Dementia D’Rose.",2017-10-20
Sleeping Beauties,Sleeping Beauties,"Awakened from a curse after 400 years, Sleeping Beauty (Sarah Hunter) marvels at the wonders of the new century. She falls in love with a famous architect who is working to restore the castle she once lived in, but finds there are enemies plotting against her. Giving in to her long pent-up sexual desires, Beauty cannot resist the lustful advances of both men and women and after 400 years, she's ready to explore everything and everyone!",2017-07-27
The Predator,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",2018-09-05
Avengers: Infinity War,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25
Incredibles 2,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018-06-14
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06
Triassic World,Triassic World,"In the future, scientists found a way to grow human organs inside dinosaurs to harvest them for profit. But when the dinosaurs break out, the scientists that created them have to find ways undo the terrible mistakes they have done.",2018-06-19
Yuli,Yuli,"Yuli is the nickname given to Carlos Acosta by his father, Pedro, who considers him the son of Ogun, an African god and a fighter. As a child Yuli avoids discipline and education, learning from the streets of an impoverished and abandoned Havana. His father, however, has other ideas, and knowing that his son has a natural talent for dance, sends him to the National Ballet School of Cuba. Despite his repeated escapes and initial poor behaviour, the boy is inevitably drawn to the world of dance, and begins to shape his legendary career from a young age, becoming the first black dancer to be cast in some of the most prestigious ballet roles, originally written for white dancers, in companies such as the Houston Ballet or the Royal Ballet in London.",2018-12-14
In the Game,La Finale,A rebellious teenager must travel the country with his sick grandpa to get to his basketball game.,2018-03-21
Dead Men,Dead Men,Jesse Struthers and his brother Jake find themselves on the run after a band of men begin murdering their family.,2018-01-02
The Convent,The Convent,"During the 17th century, a young woman is saved from execution and led to a priory to repent her sins but discovers a greater evil lies within.",2018-10-26
Big Brother,大師兄,"A soldier-turned-high school teacher uses unusual methods to reach to a class of poor students, while dealing with a greedy entrepreneur and his gang of fighters as well as the government.",2018-08-16
12 Strong,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,2018-01-18
The Grinch,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,2018-11-08
Gotti,Gotti,"John Gotti rises to the top of the New York underworld to become the boss of the Gambino crime family. His life takes a tumultuous turn as he faces tragedy, multiple trials and a prison sentence.",2018-06-14
